Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag,Station ID
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-05,2024,1,5,,-0.7,,-2.9,,-1.8,,19.8,,0.0,,0.0,,0.0,,0.0,,,,24.0,,35.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-06,2024,1,6,,1.6,,-4.1,,-1.3,,19.3,,0.0,,0.0,,3.8,,3.8,,2.0,E,12.0,,54.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-07,2024,1,7,,0.1,,-5.4,,-2.7,,20.7,,0.0,,0.0,,0.4,,0.4,,4.0,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-08,2024,1,8,,2.8,,-0.3,,1.3,,16.7,,0.0,,0.0,,0.0,T,0.0,T,3.0,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-09,2024,1,9,,6.5,,0.2,,3.4,,14.6,,0.0,,25.2,,5.6,,30.8,,3.0,E,21.0,,58.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-10,2024,1,10,,6.1,,-0.1,,3.0,,15.0,,0.0,,0.0,,0.0,T,0.0,T,,,28.0,,69.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-11,2024,1,11,,2.4,,-0.4,,1.0,,17.0,,0.0,,0.2,,2.4,,2.6,,1.0,E,28.0,,41.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-12,2024,1,12,,4.2,,-0.6,,1.8,,16.2,,0.0,,9.9,,5.2,,15.1,,5.0,E,10.0,,66.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-13,2024,1,13,,5.3,,-4.1,,0.6,,17.4,,0.0,,4.5,,0.8,,5.3,,3.0,,27.0,,74.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-14,2024,1,14,,-3.7,,-12.2,,-8.0,,26.0,,0.0,,0.0,,0.8,,0.8,,5.0,,25.0,,69.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-15,2024,1,15,,-8.4,,-13.6,,-11.0,,29.0,,0.0,,0.0,,0.0,,0.0,,5.0,,25.0,,39.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-16,2024,1,16,,-7.2,,-12.2,,-9.7,,27.7,,0.0,,0.0,,2.0,,2.0,,3.0,,25.0,,39.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-17,2024,1,17,,-8.4,,-15.5,,-12.0,,30.0,,0.0,,0.0,,0.0,,0.0,,3.0,,25.0,,57.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-18,2024,1,18,,-3.6,,-8.7,,-6.2,,24.2,,0.0,,0.0,,0.6,,0.6,,3.0,,24.0,,32.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-19,2024,1,19,,-6.7,,-15.2,,-11.0,,29.0,,0.0,,0.0,,0.0,,0.0,,3.0,,34.0,,39.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-20,2024,1,20,,-7.7,,-15.4,,-11.6,,29.6,,0.0,,0.0,,0.0,T,0.0,T,2.0,,29.0,,51.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-21,2024,1,21,,-2.1,,-11.4,,-6.8,,24.8,,0.0,,0.0,,0.0,T,0.0,T,2.0,,25.0,,36.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-22,2024,1,22,,-1.0,,-7.8,,-4.4,,22.4,,0.0,,0.0,,0.6,,0.6,,2.0,,22.0,,40.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-23,2024,1,23,,1.6,,-1.2,,0.2,,17.8,,0.0,,2.4,,4.8,,7.2,,2.0,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-24,2024,1,24,,1.6,,0.5,,1.1,,16.9,,0.0,,8.2,,0.0,,8.2,,3.0,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-25,2024,1,25,,3.5,,1.1,,2.3,,15.7,,0.0,,0.2,,0.0,,0.2,,1.0,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-26,2024,1,26,,4.0,,1.4,,2.7,,15.3,,0.0,,21.8,,0.0,,21.8,,,,35.0,,45.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-27,2024,1,27,,3.5,,0.5,,2.0,,16.0,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-28,2024,1,28,,2.9,,0.6,,1.8,,16.2,,0.0,,0.0,,0.0,T,0.0,T,,,3.0,,31.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-29,2024,1,29,,3.9,,-1.9,,1.0,,17.0,,0.0,,0.0,,0.0,T,0.0,T,,,34.0,,36.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-30,2024,1,30,,2.0,,-0.3,,0.9,,17.1,,0.0,,0.0,,0.0,T,0.0,T,,,14.0,,33.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-01-31,2024,1,31,,5.7,,0.9,,3.3,,14.7,,0.0,,0.0,,0.0,,0.0,,,,23.0,,36.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-01,2024,2,1,,4.3,,2.3,,3.3,,14.7,,0.0,,,M,,M,0.0,T,,,23.0,,37.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-02,2024,2,2,,3.8,,-3.6,,0.1,,17.9,,0.0,,0.0,,0.0,,0.0,,,,34.0,,40.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-03,2024,2,3,,3.6,,-5.3,,-0.9,,18.9,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-04,2024,2,4,,3.0,,-5.5,,-1.3,,19.3,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-05,2024,2,5,,3.1,,-2.8,,0.2,,17.8,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-06,2024,2,6,,4.3,,-5.1,,-0.4,,18.4,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-07,2024,2,7,,4.8,,-2.9,,1.0,,17.0,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-08,2024,2,8,,7.6,,-1.4,,3.1,,14.9,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-09,2024,2,9,,15.7,,2.0,,8.9,,9.1,,0.0,,0.9,,0.0,,0.9,,,,24.0,,61.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-10,2024,2,10,,10.0,,2.4,,6.2,,11.8,,0.0,,0.0,,0.0,,0.0,,,,30.0,,42.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-11,2024,2,11,,2.9,,0.4,,1.7,,16.3,,0.0,,0.0,,0.0,,0.0,,,,30.0,,39.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-12,2024,2,12,,4.9,,-2.6,,1.2,,16.8,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-13,2024,2,13,,5.8,,-6.1,,-0.2,,18.2,,0.0,,0.0,,0.2,,0.2,,0.0,T,30.0,,54.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-14,2024,2,14,,0.2,,-8.6,,-4.2,,22.2,,0.0,,0.0,,0.0,T,0.0,T,0.0,T,32.0,,40.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-15,2024,2,15,,1.1,,-6.7,,-2.8,,20.8,,0.0,,0.4,,6.4,,6.6,,1.0,E,30.0,,72.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-16,2024,2,16,,-0.9,,-4.6,,-2.8,,20.8,,0.0,,0.0,,0.0,T,0.0,T,7.0,,28.0,,62.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-17,2024,2,17,,-4.5,,-8.2,,-6.4,,24.4,,0.0,,0.0,,0.2,,0.2,,5.0,,28.0,,49.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-18,2024,2,18,,-0.4,,-6.7,,-3.6,,21.6,,0.0,,0.0,,1.4,,1.0,,5.0,,31.0,,64.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-19,2024,2,19,,-2.4,,-10.9,,-6.7,,24.7,,0.0,,0.0,T,0.0,,0.0,T,,,34.0,,43.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-20,2024,2,20,,3.5,,-8.8,,-2.7,,20.7,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-21,2024,2,21,,10.4,,-3.3,,3.6,,14.4,,0.0,,0.0,T,0.0,,0.0,T,0.0,T,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-22,2024,2,22,,11.1,,0.3,,5.7,,12.3,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-23,2024,2,23,,11.0,,-8.5,,1.3,,16.7,,0.0,,0.0,,0.0,,0.0,,,,34.0,,52.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-24,2024,2,24,,-3.8,,-13.2,,-8.5,,26.5,,0.0,,0.0,,0.0,,0.0,,,,36.0,,42.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-25,2024,2,25,,5.5,,-6.7,,-0.6,,18.6,,0.0,,0.0,,0.0,,0.0,,,,20.0,,46.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-26,2024,2,26,,9.5,,-1.9,,3.8,,14.2,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-27,2024,2,27,,11.4,,-1.7,,4.9,,13.1,,0.0,,16.8,,0.0,,16.8,,,,15.0,,37.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-28,2024,2,28,,16.5,,-5.8,,5.4,,12.6,,0.0,,7.9,,0.0,T,7.9,,,,31.0,,90.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-02-29,2024,2,29,,-2.0,,-7.3,,-4.7,,22.7,,0.0,,0.0,,0.0,T,0.0,T,0.0,T,28.0,,59.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-01,2024,3,1,,9.2,,-4.2,,2.5,,15.5,,0.0,,0.0,,0.0,,0.0,,,,23.0,,39.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-02,2024,3,2,,7.0,,3.9,,5.5,,12.5,,0.0,,0.0,T,0.0,,0.0,T,0.0,T,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-03,2024,3,3,,8.6,,4.6,,6.6,,11.4,,0.0,,0.0,T,0.0,,0.0,T,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-04,2024,3,4,,16.6,,3.5,,10.1,,7.9,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-05,2024,3,5,,15.2,,6.1,,10.7,,7.3,,0.0,,1.5,,0.0,,1.5,,,,35.0,,36.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-06,2024,3,6,,7.8,,3.3,,5.6,,12.4,,0.0,,0.0,T,0.0,,0.0,T,,,2.0,,40.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-07,2024,3,7,,10.3,,1.1,,5.7,,12.3,,0.0,,0.0,,0.0,,0.0,,,,2.0,,31.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-08,2024,3,8,,9.5,,1.7,,5.6,,12.4,,0.0,,1.0,,0.0,,1.0,,,,10.0,,33.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-09,2024,3,9,,9.6,,2.0,,5.8,,12.2,,0.0,,10.7,,0.0,,10.7,,,,20.0,,49.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-10,2024,3,10,,3.5,,-1.9,,0.8,,17.2,,0.0,,0.7,,0.8,,1.5,,0.0,T,28.0,,65.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-11,2024,3,11,,8.2,,-1.3,,3.5,,14.5,,0.0,,0.0,,0.0,,0.0,,,,31.0,,59.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-12,2024,3,12,,14.3,,-1.8,,6.3,,11.7,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-13,2024,3,13,,20.6,,4.9,,12.8,,5.2,,0.0,,0.0,,0.0,,0.0,,,,31.0,,40.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-14,2024,3,14,,11.4,,2.4,,6.9,,11.1,,0.0,,19.8,,0.0,,19.8,,,,5.0,,33.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-15,2024,3,15,,12.9,,-0.5,,6.2,,11.8,,0.0,,0.0,T,0.0,,0.0,T,,,36.0,,37.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-16,2024,3,16,,10.1,,-1.4,,4.4,,13.6,,0.0,,2.0,,0.0,,2.0,,,,29.0,,75.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-17,2024,3,17,,5.8,,-1.3,,2.3,,15.7,,0.0,,0.0,,2.4,,2.4,,,,29.0,,60.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-18,2024,3,18,,3.0,,-2.8,,0.1,,17.9,,0.0,,0.0,,0.4,,0.4,,,,30.0,,50.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-19,2024,3,19,,1.2,,-1.9,,-0.4,,18.4,,0.0,,0.0,,1.6,,1.6,,1.0,E,26.0,,51.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-20,2024,3,20,,1.5,,-5.9,,-2.2,,20.2,,0.0,,0.0,,1.4,,1.4,,2.0,,29.0,,74.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-21,2024,3,21,,-1.0,,-8.4,,-4.7,,22.7,,0.0,,0.0,,0.0,,0.0,,0.0,T,32.0,,53.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-22,2024,3,22,,-3.1,,-8.4,,-5.8,,23.8,,0.0,,0.0,,11.6,,9.0,,1.0,E,11.0,,31.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-23,2024,3,23,,2.0,,-7.7,,-2.9,,20.9,,0.0,,0.0,,0.0,T,0.0,T,11.0,,33.0,,51.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-24,2024,3,24,,0.4,,-7.5,,-3.6,,21.6,,0.0,,0.0,,0.0,,0.0,,2.0,,9.0,,36.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-25,2024,3,25,,9.6,,-0.8,,4.4,,13.6,,0.0,,0.0,,0.0,,0.0,,,,6.0,,39.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-26,2024,3,26,,10.0,,5.2,,7.6,,10.4,,0.0,,5.1,,0.0,,5.1,,,,12.0,,40.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-27,2024,3,27,,10.7,,2.0,,6.4,,11.6,,0.0,,0.3,,0.0,,0.3,,,,22.0,,45.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-28,2024,3,28,,9.7,,-0.9,,4.4,,13.6,,0.0,,0.0,,0.0,,0.0,,,,26.0,,40.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-29,2024,3,29,,6.9,,-2.2,,2.4,,15.6,,0.0,,0.0,,0.0,,0.0,,,,29.0,,49.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-30,2024,3,30,,7.6,,-4.9,,1.4,,16.6,,0.0,,0.0,,0.0,T,0.0,T,,,34.0,,38.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-03-31,2024,3,31,,10.7,,1.2,,6.0,,12.0,,0.0,,0.0,,0.0,,0.0,,,,33.0,,32.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-01,2024,4,1,,11.5,,1.4,,6.5,,11.5,,0.0,,0.0,,0.0,,0.0,,,,1.0,,41.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-02,2024,4,2,,7.6,,4.7,,6.2,,11.8,,0.0,,7.1,,0.0,,7.1,,,,11.0,,71.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-03,2024,4,3,,6.4,,1.2,,3.8,,14.2,,0.0,,32.0,,0.0,,32.0,,,,9.0,,62.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-04,2024,4,4,,3.4,,0.2,,1.8,,16.2,,0.0,,1.2,,0.0,T,1.2,,,,6.0,,44.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-05,2024,4,5,,6.2,,0.2,,3.2,,14.8,,0.0,,0.0,,0.2,,0.2,,0.0,T,32.0,,51.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-06,2024,4,6,,12.5,,3.6,,8.1,,9.9,,0.0,,0.0,,0.0,,0.0,,,,1.0,,51.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-07,2024,4,7,,15.2,,2.4,,8.8,,9.2,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-08,2024,4,8,,13.4,,4.4,,8.9,,9.1,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-09,2024,4,9,,18.8,,4.3,,11.6,,6.4,,0.0,,0.0,,0.0,,0.0,,,,34.0,,42.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-10,2024,4,10,,18.7,,8.5,,13.6,,4.4,,0.0,,0.0,,0.0,,0.0,,,,30.0,,35.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-11,2024,4,11,,14.7,,7.8,,11.3,,6.7,,0.0,,33.8,,0.0,,33.8,,,,7.0,,37.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-12,2024,4,12,,12.8,,4.3,,8.6,,9.4,,0.0,,13.2,,0.0,,13.2,,,,29.0,,67.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-13,2024,4,13,,11.8,,3.8,,7.8,,10.2,,0.0,,0.0,T,0.0,,0.0,T,,,30.0,,75.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-14,2024,4,14,,16.1,,6.3,,11.2,,6.8,,0.0,,6.4,,0.0,,6.4,,,,36.0,,44.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-15,2024,4,15,,16.9,,4.1,,10.5,,7.5,,0.0,,0.0,,0.0,,0.0,,,,31.0,,61.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-16,2024,4,16,,16.7,,5.8,,11.3,,6.7,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-17,2024,4,17,,8.9,,4.8,,6.9,,11.1,,0.0,,12.7,,0.0,,12.7,,,,8.0,,61.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-18,2024,4,18,,13.9,,7.1,,10.5,,7.5,,0.0,,0.0,T,0.0,,0.0,T,,,27.0,,46.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-19,2024,4,19,,15.2,,4.8,,10.0,,8.0,,0.0,,1.4,,0.0,,1.4,,,,27.0,,55.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-20,2024,4,20,,8.0,,3.1,,5.6,,12.4,,0.0,,0.0,,0.0,T,0.0,T,,,28.0,,56.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-21,2024,4,21,,10.2,,1.4,,5.8,,12.2,,0.0,,0.0,,0.0,,0.0,,,,29.0,,53.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-22,2024,4,22,,14.3,,-1.4,,6.5,,11.5,,0.0,,0.0,,0.0,,0.0,,,,16.0,,36.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-23,2024,4,23,,16.9,,7.9,,12.4,,5.6,,0.0,,0.4,,0.0,,0.4,,,,22.0,,70.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-24,2024,4,24,,9.6,,0.5,,5.1,,12.9,,0.0,,0.0,T,0.0,,0.0,T,,,34.0,,48.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-25,2024,4,25,,8.4,,-2.0,,3.2,,14.8,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-26,2024,4,26,,12.7,,-0.6,,6.1,,11.9,,0.0,,0.0,,0.0,,0.0,,,,10.0,,42.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-27,2024,4,27,,14.3,,6.9,,10.6,,7.4,,0.0,,6.4,,0.0,,6.4,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-28,2024,4,28,,22.1,,10.5,,16.3,,1.7,,0.0,,5.0,,0.0,,5.0,,,,24.0,,41.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-29,2024,4,29,,12.5,,9.0,,10.8,,7.2,,0.0,,12.5,,0.0,,12.5,,,,27.0,,48.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-04-30,2024,4,30,,16.2,,8.4,,12.3,,5.7,,0.0,,3.2,,0.0,,3.2,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-01,2024,5,1,,16.8,,6.7,,11.8,,6.2,,0.0,,0.0,,0.0,,0.0,,,,36.0,,38.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-02,2024,5,2,,20.5,,10.1,,15.3,,2.7,,0.0,,0.0,,0.0,,0.0,,,,32.0,,37.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-03,2024,5,3,,16.6,,10.9,,13.8,,4.2,,0.0,,3.1,,0.0,,3.1,,,,8.0,,36.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-04,2024,5,4,,21.3,,12.6,,17.0,,1.0,,0.0,,0.0,,0.0,,0.0,,,,9.0,,35.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-05,2024,5,5,,19.4,,10.3,,14.9,,3.1,,0.0,,3.5,,0.0,,3.5,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-06,2024,5,6,,19.9,,8.3,,14.1,,3.9,,0.0,,0.0,,0.0,,0.0,,,,33.0,,32.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-07,2024,5,7,,20.4,,7.2,,13.8,,4.2,,0.0,,16.8,,0.0,T,16.8,,,,11.0,,38.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-08,2024,5,8,,20.3,,9.4,,14.9,,3.1,,0.0,,1.0,,0.0,,1.0,,,,27.0,,72.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-09,2024,5,9,,16.7,,7.8,,12.3,,5.7,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-10,2024,5,10,,16.5,,10.4,,13.5,,4.5,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-11,2024,5,11,,16.0,,8.7,,12.4,,5.6,,0.0,,0.6,,0.0,,0.6,,,,21.0,,41.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-12,2024,5,12,,19.0,,9.7,,14.4,,3.6,,0.0,,0.0,T,0.0,,0.0,T,,,33.0,,34.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-13,2024,5,13,,24.5,,10.5,,17.5,,0.5,,0.0,,0.9,,0.0,,0.9,,,,21.0,,44.0,,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-14,2024,5,14,,20.3,,11.5,,15.9,,2.1,,0.0,,0.3,,0.0,,0.3,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-15,2024,5,15,,20.3,,11.4,,15.9,,2.1,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-16,2024,5,16,,21.0,,10.4,,15.7,,2.3,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-17,2024,5,17,,19.2,,14.6,,16.9,,1.1,,0.0,,3.4,,0.0,,3.4,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-18,2024,5,18,,21.1,,13.1,,17.1,,0.9,,0.0,,0.0,T,0.0,,0.0,T,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-19,2024,5,19,,23.9,,12.1,,18.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,M,,M,51459
-79.63,43.68,Toronto_Pearson_Intl_West,6158731,2024-05-20,2024,5,20,,27.8,,15.0,,21.4,,0.0,,3.4,,0.8,,0.0,,0.8,,,,27.0,,53.0,,51459
